symbol,name,sector,mcap_cr
360ONE,360 ONE WAM Ltd.,FIN_SERVICES,32000
3MINDIA,3M India Ltd.,,27000
ABB,ABB India Ltd.,INFRA,76000
ACC,ACC Ltd.,INFRA,47000
ACMESOLAR,ACME Solar Holdings Ltd.,ENERGY,18328
AIAENG,AIA Engineering Ltd.,INFRA,18000
APLAPOLLO,APL Apollo Tubes Ltd.,INFRA,42000
AUBANK,AU Small Finance Bank Ltd.,FIN_SERVICES,46000
AWL,AWL Agri Business Ltd.,FMCG,24978
AADHARHFC,Aadhar Housing Finance Ltd.,FIN_SERVICES,20835
AARTIIND,Aarti Industries Ltd.,PHARMA,17826
AAVAS,Aavas Financiers Ltd.,FIN_SERVICES,12000
ABBOTINDIA,Abbott India Ltd.,HEALTHCARE,29000
ACE,Action Construction Equipment Ltd.,INFRA,10651
ACUTAAS,Acutaas Chemicals Ltd.,HEALTHCARE,24846
ADANIENSOL,Adani Energy Solutions Ltd.,ENERGY,175784
ADANIENT,Adani Enterprises Ltd.,METAL,310000
ADANIGREEN,Adani Green Energy Ltd.,ENERGY,196000
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,290000
ADANIPOWER,Adani Power Ltd.,ENERGY,230000
ATGL,Adani Total Gas Ltd.,OIL_GAS,48000
ABCAPITAL,Aditya Birla Capital Ltd.,FIN_SERVICES,95149
ABFRL,Aditya Birla Fashion and Retail Ltd.,SERVICES,7891
ABLBL,Aditya Birla Lifestyle Brands Ltd.,SERVICES,12404
ABREL,Aditya Birla Real Estate Ltd.,REALTY,14029
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,FIN_SERVICES,19000
CPPLUS,Aditya Infotech Ltd.,INFRA,31215
AEGISLOG,Aegis Logistics Ltd.,OIL_GAS,25100
AEGISVOPAK,Aegis Vopak Terminals Ltd.,OIL_GAS,23083
AFCONS,Afcons Infrastructure Ltd.,INFRA,11861
AFFLE,Affle 3i Ltd.,IT,20902
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,HEALTHCARE,28000
ALKEM,Alkem Laboratories Ltd.,HEALTHCARE,66000
ABDL,Allied Blenders and Distillers Ltd.,FMCG,15241
ARE&M,Amara Raja Energy & Mobility Ltd.,AUTO,16276
AMBER,Amber Enterprises India Ltd.,CONSR_DURBL,17000
AMBUJACEM,Ambuja Cements Ltd.,INFRA,82000
ANANDRATHI,Anand Rathi Wealth Ltd.,FIN_SERVICES,29781
ANANTRAJ,Anant Raj Ltd.,REALTY,12000
ANGELONE,Angel One Ltd.,FIN_SERVICES,21000
ANTHEM,Anthem Biosciences Ltd.,HEALTHCARE,43378
ANURAS,Anupam Rasayan India Ltd.,PHARMA,15601
APARINDS,Apar Industries Ltd.,INFRA,28000
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE,96000
APOLLOTYRE,Apollo Tyres Ltd.,AUTO,24876
APTUS,Aptus Value Housing Finance India Ltd.,FIN_SERVICES,13029
ASAHIINDIA,Asahi India Glass Ltd.,AUTO,22729
ASHOKLEY,Ashok Leyland Ltd.,INFRA,62000
ASIANPAINT,Asian Paints Ltd.,CONSR_DURBL,232000
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE,22000
ASTRAL,Astral Ltd.,INFRA,42414
ATHERENERG,Ather Energy Ltd.,AUTO,22000
ATUL,Atul Ltd.,PHARMA,22000
AUROPHARMA,Aurobindo Pharma Ltd.,HEALTHCARE,52000
AIIL,Authum Investment & Infrastructure Ltd.,FIN_SERVICES,42024
DMART,Avenue Supermarts Ltd.,SERVICES,267622
AXISBANK,Axis Bank Ltd.,FIN_SERVICES,380000
BEML,BEML Ltd.,INFRA,15364
BLS,BLS International Services Ltd.,SERVICES,10924
BSE,BSE Ltd.,FIN_SERVICES,74000
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTO,242000
BAJFINANCE,Bajaj Finance Ltd.,FIN_SERVICES,490000
BAJAJFINSV,Bajaj Finserv Ltd.,FIN_SERVICES,248000
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FIN_SERVICES,82000
BAJAJHFL,Bajaj Housing Finance Ltd.,FIN_SERVICES,70835
BALKRISIND,Balkrishna Industries Ltd.,AUTO,42582
BALRAMCHIN,Balrampur Chini Mills Ltd.,FMCG,9000
BANDHANBNK,Bandhan Bank Ltd.,FIN_SERVICES,40000
BANKBARODA,Bank of Baroda,FIN_SERVICES,126000
BANKINDIA,Bank of India,FIN_SERVICES,66009
MAHABANK,Bank of Maharashtra,FIN_SERVICES,61671
BATAINDIA,Bata India Ltd.,CONSR_DURBL,8980
BAYERCROP,Bayer Cropscience Ltd.,PHARMA,20228
BELRISE,Belrise Industries Ltd.,AUTO,19335
BERGEPAINT,Berger Paints India Ltd.,CONSR_DURBL,60113
BDL,Bharat Dynamics Ltd.,INFRA,48749
BEL,Bharat Electronics Ltd.,INFRA,307084
BHARATFORG,Bharat Forge Ltd.,AUTO,92290
BHEL,Bharat Heavy Electricals Ltd.,INFRA,77000
BPCL,Bharat Petroleum Corporation Ltd.,OIL_GAS,132000
BHARTIARTL,Bharti Airtel Ltd.,SERVICES,950000
BHARTIHEXA,Bharti Hexacom Ltd.,SERVICES,77900
BIKAJI,Bikaji Foods International Ltd.,FMCG,16000
GROWW,Billionbrains Garage Ventures Ltd.,FIN_SERVICES,116878
BIOCON,Biocon Ltd.,HEALTHCARE,27000
BSOFT,Birlasoft Ltd.,IT,24000
BLUEDART,Blue Dart Express Ltd.,SERVICES,15000
BLUEJET,Blue Jet Healthcare Ltd.,HEALTHCARE,8665
BLUESTARCO,Blue Star Ltd.,CONSR_DURBL,21000
BBTC,Bombay Burmah Trading Corporation Ltd.,FMCG,10697
BOSCHLTD,Bosch Ltd.,AUTO,76000
FIRSTCRY,Brainbees Solutions Ltd.,SERVICES,11504
BRIGADE,Brigade Enterprises Ltd.,REALTY,29000
BRITANNIA,Britannia Industries Ltd.,FMCG,120000
MAPMYINDIA,C.E. Info Systems Ltd.,IT,4615
CCL,CCL Products (I) Ltd.,FMCG,14171
CESC,CESC Ltd.,ENERGY,18000
CGPOWER,CG Power and Industrial Solutions Ltd.,INFRA,138462
CIEINDIA,CIE Automotive India Ltd.,AUTO,17344
CRISIL,CRISIL Ltd.,FIN_SERVICES,29367
CANFINHOME,Can Fin Homes Ltd.,FIN_SERVICES,11179
CANBK,Canara Bank,FIN_SERVICES,100000
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,FIN_SERVICES,13270
CAPLIPOINT,Caplin Point Laboratories Ltd.,HEALTHCARE,9000
CGCL,Capri Global Capital Ltd.,FIN_SERVICES,18357
CARBORUNIV,Carborundum Universal Ltd.,INFRA,19875
CARTRADE,Cartrade Tech Ltd.,SERVICES,8200
CASTROLIND,Castrol India Ltd.,OIL_GAS,18202
CEATLTD,Ceat Ltd.,AUTO,13305
CEMPRO,Cemindia Projects Ltd.,INFRA,16205
CENTRALBK,Central Bank of India,FIN_SERVICES,28077
CDSL,Central Depository Services (India) Ltd.,FIN_SERVICES,26000
CHALET,Chalet Hotels Ltd.,SERVICES,17272
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,PHARMA,19149
CHENNPETRO,Chennai Petroleum Corporation Ltd.,OIL_GAS,15186
CHOICEIN,Choice International Ltd.,FIN_SERVICES,15318
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,FIN_SERVICES,31026
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FIN_SERVICES,109000
CIPLA,Cipla Ltd.,HEALTHCARE,120000
CUB,City Union Bank Ltd.,FIN_SERVICES,18882
CLEAN,Clean Science and Technology Ltd.,PHARMA,7942
COALINDIA,Coal India Ltd.,OIL_GAS,268000
COCHINSHIP,Cochin Shipyard Ltd.,INFRA,40151
COFORGE,Coforge Ltd.,IT,41000
COHANCE,Cohance Lifesciences Ltd.,HEALTHCARE,16654
COLPAL,Colgate Palmolive (India) Ltd.,FMCG,57000
CAMS,Computer Age Management Services Ltd.,FIN_SERVICES,24000
CONCORDBIO,Concord Biotech Ltd.,HEALTHCARE,11914
CONCOR,Container Corporation of India Ltd.,SERVICES,45000
COROMANDEL,Coromandel International Ltd.,PHARMA,54429
CRAFTSMAN,Craftsman Automation Ltd.,AUTO,8000
CREDITACC,CreditAccess Grameen Ltd.,FIN_SERVICES,16000
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSR_DURBL,21000
CUMMINSIND,Cummins India Ltd.,INFRA,59000
CYIENT,Cyient Ltd.,IT,14000
DCMSHRIRAM,DCM Shriram Ltd.,,16846
DLF,DLF Ltd.,REALTY,195000
DOMS,DOMS Industries Ltd.,FMCG,13368
DABUR,Dabur India Ltd.,FMCG,89000
DALBHARAT,Dalmia Bharat Ltd.,INFRA,41000
DATAPATTNS,Data Patterns (India) Ltd.,INFRA,22963
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,PHARMA,18307
DEEPAKNTR,Deepak Nitrite Ltd.,PHARMA,30000
DELHIVERY,Delhivery Ltd.,SERVICES,16000
DEVYANI,Devyani International Ltd.,SERVICES,14350
DIVISLAB,Divi's Laboratories Ltd.,HEALTHCARE,130000
